time,Open,High,Low,Close,Rejection
2004-07-01 00:00:00,1.6206,1.6372,1.59555,1.60015,
2004-08-01 00:00:00,1.601,1.63115,1.5766,1.5991,
2004-09-01 00:00:00,1.5936,1.5958,1.5585,1.5683,
2004-10-01 00:00:00,1.56605,1.5747,1.5468,1.56035,
2004-11-01 01:00:00,1.5594,1.5768,1.53965,1.5768,
2004-12-01 01:00:00,1.5772,1.66545,1.5772,1.62765,
2005-01-01 01:00:00,1.62735,1.63845,1.5831,1.6182,
2005-02-01 01:00:00,1.6183,1.6547,1.59015,1.6321,
2005-03-01 01:00:00,1.6321,1.6405,1.5625,1.56925,
2005-04-01 01:00:00,1.56925,1.6282,1.5637,1.61955,
2005-05-01 00:00:00,1.61905,1.62435,1.54165,1.54355,
2005-06-01 00:00:00,1.54355,1.54735,1.4773,1.48195,
2005-07-01 00:00:00,1.48195,1.499,1.4516,1.48435,
2005-08-01 00:00:00,1.48435,1.5142,1.4519,1.4672,
2005-09-01 00:00:00,1.4673,1.495,1.39445,1.399,
2005-10-01 00:00:00,1.3991,1.44065,1.38535,1.41615,
2005-11-01 01:00:00,1.41625,1.42585,1.3653,1.3756,
2005-12-01 01:00:00,1.3755,1.405,1.35465,1.377,
2006-01-01 01:00:00,1.3772,1.4253,1.3727,1.38375,
2006-02-01 01:00:00,1.38375,1.3874,1.35015,1.35785,
2006-03-01 01:00:00,1.35785,1.4226,1.34955,1.4161,
2006-04-01 01:00:00,1.416,1.4366,1.3841,1.4104,
2006-05-01 00:00:00,1.4104,1.4459,1.3916,1.411,
2006-06-01 00:00:00,1.411,1.4325,1.3798,1.4279,
2006-07-01 00:00:00,1.4277,1.4474,1.4099,1.4439,
2006-08-01 00:00:00,1.444,1.45905,1.41025,1.4151,
2006-09-01 00:00:00,1.415,1.435,1.4062,1.417,
2006-10-01 00:00:00,1.4172,1.4358,1.4122,1.4327,
2006-11-01 01:00:00,1.4327,1.5157,1.431,1.5117,
2006-12-01 01:00:00,1.5116,1.54,1.5076,1.5387,
2007-01-01 01:00:00,1.5389,1.5507,1.5083,1.5317,
2007-02-01 01:00:00,1.5317,1.5501,1.5167,1.549,
2007-03-01 01:00:00,1.549,1.5684,1.5308,1.5411,
2007-04-01 00:00:00,1.5424,1.55044,1.5077,1.5145,
2007-05-01 00:00:00,1.5145,1.5164,1.4356,1.43935,
2007-06-01 00:00:00,1.43925,1.44435,1.40076,1.442,
2007-07-01 00:00:00,1.44,1.46463,1.42355,1.45905,
2007-08-01 00:00:00,1.45902,1.46304,1.4199,1.4389,
2007-09-01 00:00:00,1.4395,1.45995,1.40137,1.41629,
2007-10-01 00:00:00,1.41629,1.41954,1.36378,1.37027,
2007-11-01 00:00:00,1.37032,1.48509,1.32895,1.46137,
2007-12-01 01:00:00,1.46187,1.5034,1.41523,1.45712,
2008-01-01 01:00:00,1.45712,1.52004,1.44501,1.48989,
2008-02-01 01:00:00,1.48988,1.50748,1.44094,1.49941,
2008-03-01 01:00:00,1.49879,1.63265,1.4931,1.6172,
2008-04-01 00:00:00,1.6172,1.62716,1.56207,1.5745,
2008-05-01 00:00:00,1.5745,1.5815,1.52808,1.54529,
2008-06-01 00:00:00,1.54692,1.615,1.54293,1.60827,
2008-07-01 00:00:00,1.60827,1.61847,1.58015,1.5951,
2008-08-01 00:00:00,1.59505,1.62252,1.52625,1.56142,
2008-09-01 00:00:00,1.56142,1.56507,1.48618,1.49943,
2008-10-01 00:00:00,1.49941,1.63757,1.47202,1.54277,1.63757
2008-11-01 00:00:00,1.54207,1.62258,1.4825,1.5734,
2008-12-01 01:00:00,1.57334,1.75154,1.55608,1.70717,
2009-01-01 01:00:00,1.70614,1.71642,1.56555,1.57541,1.71642
2009-02-01 01:00:00,1.57251,1.62442,1.56425,1.6173,
2009-03-01 01:00:00,1.61301,1.69768,1.60214,1.67159,
2009-04-01 00:00:00,1.6716,1.6835,1.57053,1.58053,
2009-05-01 00:00:00,1.58086,1.60083,1.53898,1.54095,
2009-06-01 00:00:00,1.54088,1.63294,1.53452,1.63191,
2009-07-01 00:00:00,1.63187,1.6328,1.51863,1.53628,1.6328
2009-08-01 00:00:00,1.53728,1.58509,1.52541,1.56858,
2009-09-01 00:00:00,1.56853,1.60969,1.5404,1.56604,
2009-10-01 00:00:00,1.56608,1.59946,1.52322,1.5962,
2009-11-01 00:00:00,1.59587,1.60542,1.55978,1.5849,
2009-12-01 01:00:00,1.58494,1.59491,1.49287,1.5066,
2010-01-01 01:00:00,1.50866,1.50949,1.46723,1.48111,
2010-02-01 01:00:00,1.48115,1.4901,1.41011,1.43329,
2010-03-01 01:00:00,1.43322,1.43444,1.35724,1.37162,
2010-04-01 00:00:00,1.37167,1.37583,1.32388,1.35284,
2010-05-01 00:00:00,1.35421,1.35951,1.26498,1.27942,
2010-06-01 00:00:00,1.27946,1.30507,1.2452,1.30012,
2010-07-01 00:00:00,1.30008,1.36934,1.29528,1.34374,
2010-08-01 00:00:00,1.34442,1.36906,1.31558,1.34943,
2010-09-01 00:00:00,1.34948,1.40998,1.30719,1.4049,
2010-10-01 00:00:00,1.40498,1.43582,1.39482,1.42284,
2010-11-01 00:00:00,1.42279,1.43356,1.32593,1.33239,
2010-12-01 01:00:00,1.33243,1.35792,1.30896,1.33501,
2011-01-01 01:00:00,1.33515,1.37788,1.27561,1.37014,
2011-02-01 01:00:00,1.37018,1.37513,1.32636,1.34233,
2011-03-01 01:00:00,1.34237,1.39874,1.3389,1.37311,
2011-04-01 00:00:00,1.37318,1.4173,1.35918,1.39948,
2011-05-01 00:00:00,1.39948,1.43398,1.36301,1.3957,
2011-06-01 00:00:00,1.39566,1.43794,1.38254,1.39593,
2011-07-01 00:00:00,1.39597,1.39944,1.34088,1.36646,
2011-08-01 00:00:00,1.36651,1.43128,1.35493,1.40566,
2011-09-01 00:00:00,1.40571,1.41315,1.33918,1.40615,
2011-10-01 00:00:00,1.40615,1.41762,1.37843,1.3846,
2011-11-01 00:00:00,1.38454,1.41302,1.36582,1.36938,
2011-12-01 01:00:00,1.3693,1.37641,1.31552,1.32433,
2012-01-01 01:00:00,1.3205,1.32616,1.28778,1.31169,1.28778
2012-02-01 01:00:00,1.31162,1.34806,1.29987,1.31838,1.29987
2012-03-01 01:00:00,1.31831,1.33344,1.28944,1.33244,1.28944
2012-04-01 00:00:00,1.33289,1.33369,1.2931,1.30779,
2012-05-01 00:00:00,1.30775,1.3138,1.27302,1.27726,
2012-06-01 00:00:00,1.27733,1.30346,1.27464,1.28743,
2012-07-01 00:00:00,1.28919,1.28985,1.22704,1.23352,
2012-08-01 00:00:00,1.23346,1.24998,1.21299,1.24034,
2012-09-01 00:00:00,1.24002,1.28012,1.23534,1.26068,
2012-10-01 00:00:00,1.26075,1.30231,1.25761,1.29661,
